Wed Jan  6 10:00:00 1999:  0ptn  0pll  0sc 0br  10 global loot
Wed Jan  6 10:30:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 11:00:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 11:30:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 12:00:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 12:30:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 13:00:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 13:30:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 14:00:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 14:30:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 15:00:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 15:30:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 16:00:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 16:30:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 17:00:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 18:00:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 18:30:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 19:00:00 1999:  0ptn  0pll  0sc 0br  0 global loot
Wed Jan  6 19:30:00 1999:  0ptn  0pll  0sc 0br  1 global loot
Wed Jan  6 20:00:00 1999:  0ptn  0pll  0sc 0br  1 global loot
Wed Jan  6 20:30:00 1999:  0ptn  0pll  0sc 0br  1 global loot
Wed Jan  6 21:00:00 1999:  0ptn  0pll  0sc 0br  1 global loot
Wed Jan  6 21:30:00 1999:  0ptn  0pll  0sc 0br  16 global loot
Wed Jan  6 22:00:00 1999:  0ptn  0pll  0sc 0br  37 global loot
Wed Jan  6 22:30:00 1999:  0ptn  0pll  0sc 0br  37 global loot
Wed Jan  6 23:00:00 1999:  0ptn  0pll  0sc 0br  37 global loot
Wed Jan  6 23:30:00 1999:  0ptn  0pll  0sc 0br  37 global loot
Thu Jan  7 00:00:00 1999:  0ptn  0pll  0sc 0br  37 global loot
Thu Jan  7 00:30:00 1999:  0ptn  0pll  0sc 0br  62 global loot
Thu Jan  7 01:00:00 1999:  0ptn  0pll  0sc 0br  105 global loot
Thu Jan  7 10:00:00 1999:  0ptn  0pll  0sc 0br  0 global loot
